Institution Name,Province/Territory,FY Start,Domestic Enrolment,International Enrolment,Francophone,% International
Collège Vanier / Vanier College,Quebec,2021,6552,213,0,3.15
Collège Vanier / Vanier College,Quebec,2022,6468,231,0,3.45
Collège Vanier / Vanier College,Quebec,2023,6540,267,0,3.92
Collège d'Alma,Quebec,2020,1074,75,1,6.53
Collège d'Alma,Quebec,2021,1008,87,1,7.95
Collège d'Alma,Quebec,2022,1041,111,1,9.64
Collège d'Alma,Quebec,2023,1062,180,1,14.49
Collège international Marie de France,Quebec,2020,192,51,1,20.99
Collège international Marie de France,Quebec,2021,210,75,1,26.32
Collège international Marie de France,Quebec,2022,195,69,1,26.14
Collège international Marie de France,Quebec,2023,198,60,1,23.26
Collège international des Marcellines,Quebec,2020,12,0,1,0.0
Collégial international Sainte-Anne,Quebec,2020,339,21,1,5.83
Collégial international Sainte-Anne,Quebec,2021,387,36,1,8.51
Collégial international Sainte-Anne,Quebec,2022,408,42,1,9.33
Collégial international Sainte-Anne,Quebec,2023,465,33,1,6.63
Concordia U,Quebec,2020,21237,7206,0,25.33
Concordia U,Quebec,2021,21084,7410,0,26.01
Concordia U,Quebec,2022,20316,8163,0,28.66
Concordia U,Quebec,2023,20850,8064,0,27.89
Cégep André-Laurendeau,Quebec,2020,3156,81,1,2.5
Cégep André-Laurendeau,Quebec,2021,3042,117,1,3.7
Cégep André-Laurendeau,Quebec,2022,3021,156,1,4.91
Cégep André-Laurendeau,Quebec,2023,3045,189,1,5.84
Cégep Beauce-Appalaches,Quebec,2020,1746,66,1,3.64
Cégep Beauce-Appalaches,Quebec,2021,1767,117,1,6.21
Cégep Beauce-Appalaches,Quebec,2022,1755,105,1,5.65
Cégep Beauce-Appalaches,Quebec,2023,1740,150,1,7.94
Cégep François-Xavier Garneau,Quebec,2020,6384,69,1,1.07
Cégep François-Xavier Garneau,Quebec,2021,6081,96,1,1.55
Cégep François-Xavier Garneau,Quebec,2022,6009,135,1,2.2
Cégep François-Xavier Garneau,Quebec,2023,5964,192,1,3.12
Cégep Gérald-Godin,Quebec,2020,1398,9,1,0.64
Cégep Gérald-Godin,Quebec,2021,1515,24,1,1.56
Cégep Gérald-Godin,Quebec,2022,1401,36,1,2.51
Cégep Gérald-Godin,Quebec,2023,1374,51,1,3.58
Cégep John Abbott College,Quebec,2020,6933,87,0,1.24
Cégep John Abbott College,Quebec,2021,6840,93,0,1.34
Cégep John Abbott College,Quebec,2022,6840,99,0,1.43
Cégep John Abbott College,Quebec,2023,6822,93,0,1.34
Cégep Lionel-Groulx,Quebec,2020,5535,21,1,0.38
Cégep Lionel-Groulx,Quebec,2021,5604,18,1,0.32
Cégep Lionel-Groulx,Quebec,2022,5727,15,1,0.26
Cégep Lionel-Groulx,Quebec,2023,5733,39,1,0.68
Cégep Marie-Victorin,Quebec,2020,3843,210,1,5.18
Cégep Marie-Victorin,Quebec,2021,3804,336,1,8.12
Cégep Marie-Victorin,Quebec,2022,3618,345,1,8.71
Cégep Marie-Victorin,Quebec,2023,3666,492,1,11.83
Cégep Montmorency,Quebec,2020,8046,72,1,0.89
Cégep Montmorency,Quebec,2021,7974,72,1,0.89
Cégep Montmorency,Quebec,2022,7896,66,1,0.83
Cégep Montmorency,Quebec,2023,8142,111,1,1.34
Cégep Saint-Jean-sur-Richelieu,Quebec,2020,3336,24,1,0.71
Cégep Saint-Jean-sur-Richelieu,Quebec,2021,3294,36,1,1.08
Cégep Saint-Jean-sur-Richelieu,Quebec,2022,3264,45,1,1.36
Cégep Saint-Jean-sur-Richelieu,Quebec,2023,3411,96,1,2.74
Cégep d'Ahuntsic,Quebec,2020,7863,102,1,1.28
Cégep d'Ahuntsic,Quebec,2021,7722,114,1,1.45
Cégep d'Ahuntsic,Quebec,2022,7053,129,1,1.8
Cégep d'Ahuntsic,Quebec,2023,7035,180,1,2.49
Cégep de Baie-Comeau,Quebec,2020,555,120,1,17.78
Cégep de Baie-Comeau,Quebec,2021,612,126,1,17.07
Cégep de Baie-Comeau,Quebec,2022,705,153,1,17.83
Cégep de Baie-Comeau,Quebec,2023,735,189,1,20.45
Cégep de Bois-de-Boulogne,Quebec,2020,3630,48,1,1.31
Cégep de Bois-de-Boulogne,Quebec,2021,3864,75,1,1.9
Cégep de Bois-de-Boulogne,Quebec,2022,3915,72,1,1.81
Cégep de Bois-de-Boulogne,Quebec,2023,4038,99,1,2.39
Cégep de Chicoutimi,Quebec,2020,1974,153,1,7.19
Cégep de Chicoutimi,Quebec,2021,1914,192,1,9.12
Cégep de Chicoutimi,Quebec,2022,1815,225,1,11.03
Cégep de Chicoutimi,Quebec,2023,1842,297,1,13.88
Cégep de Drummondville,Quebec,2020,2412,24,1,0.99
Cégep de Drummondville,Quebec,2021,2388,36,1,1.49
Cégep de Drummondville,Quebec,2022,2340,63,1,2.62
Cégep de Drummondville,Quebec,2023,2418,144,1,5.62
Cégep de Granby,Quebec,2020,1863,21,1,1.11
Cégep de Granby,Quebec,2021,2022,36,1,1.75
Cégep de Granby,Quebec,2022,1890,51,1,2.63
Cégep de Granby,Quebec,2023,1794,156,1,8.0
Cégep de Jonquière,Quebec,2020,2799,243,1,7.99
Cégep de Jonquière,Quebec,2021,2901,294,1,9.2
Cégep de Jonquière,Quebec,2022,2787,324,1,10.41
Cégep de Jonquière,Quebec,2023,2868,471,1,14.11
Cégep de La Pocatière,Quebec,2020,957,54,1,5.34
Cégep de La Pocatière,Quebec,2021,888,78,1,8.07
Cégep de La Pocatière,Quebec,2022,888,99,1,10.03
Cégep de La Pocatière,Quebec,2023,879,132,1,13.06
Cégep de Lanaudière à Joliette,Quebec,2020,2133,9,1,0.42
Cégep de Lanaudière à Joliette,Quebec,2021,2034,9,1,0.44
Cégep de Lanaudière à Joliette,Quebec,2022,2001,9,1,0.45
Cégep de Lanaudière à Joliette,Quebec,2023,2037,51,1,2.44
Cégep de Lanaudière à L'Assomption,Quebec,2020,1878,12,1,0.63
Cégep de Lanaudière à L'Assomption,Quebec,2021,1785,15,1,0.83
Cégep de Lanaudière à L'Assomption,Quebec,2022,1695,12,1,0.7
Cégep de Lanaudière à L'Assomption,Quebec,2023,1845,15,1,0.81
Cégep de Lanaudière à Terrebonne,Quebec,2020,1986,6,1,0.3
Cégep de Lanaudière à Terrebonne,Quebec,2021,1851,6,1,0.32
Cégep de Lanaudière à Terrebonne,Quebec,2022,1791,6,1,0.33
Cégep de Lanaudière à Terrebonne,Quebec,2023,1812,9,1,0.49
Cégep de Limoilou,Quebec,2020,4209,186,1,4.23
Cégep de Limoilou,Quebec,2021,4143,225,1,5.15
Cégep de Limoilou,Quebec,2022,4011,276,1,6.44
Cégep de Limoilou,Quebec,2023,4176,399,1,8.72
Cégep de Lévis-Lauzon,Quebec,2020,2772,36,1,1.28
Cégep de Lévis-Lauzon,Quebec,2021,2697,57,1,2.07
Cégep de Lévis-Lauzon,Quebec,2022,2505,66,1,2.57
Cégep de Lévis-Lauzon,Quebec,2023,2685,126,1,4.48
Cégep de Maisonneuve,Quebec,2020,6234,108,1,1.7
Cégep de Maisonneuve,Quebec,2021,6384,129,1,1.98
Cégep de Maisonneuve,Quebec,2022,6513,114,1,1.72
Cégep de Maisonneuve,Quebec,2023,6447,192,1,2.89
Cégep de Matane,Quebec,2020,567,198,1,25.88
Cégep de Matane,Quebec,2021,582,207,1,26.24
Cégep de Matane,Quebec,2022,564,219,1,27.97
Cégep de Matane,Quebec,2023,537,222,1,29.25
Cégep de Rimouski,Quebec,2020,2523,51,1,1.98
Cégep de Rimouski,Quebec,2021,2445,63,1,2.51
Cégep de Rimouski,Quebec,2022,2283,99,1,4.16
Cégep de Rimouski,Quebec,2023,2211,174,1,7.3
Cégep de Rivière-du-Loup,Quebec,2020,909,90,1,9.01
Cégep de Rivière-du-Loup,Quebec,2021,858,150,1,14.88
Cégep de Rivière-du-Loup,Quebec,2022,858,180,1,17.34
Cégep de Rivière-du-Loup,Quebec,2023,891,174,1,16.34
Cégep de Rosemont,Quebec,2020,3657,75,1,2.01
Cégep de Rosemont,Quebec,2021,3663,117,1,3.1
Cégep de Rosemont,Quebec,2022,3348,138,1,3.96
Cégep de Rosemont,Quebec,2023,3243,180,1,5.26
Cégep de Saint-Félicien,Quebec,2020,936,228,1,19.59
Cégep de Saint-Félicien,Quebec,2021,855,303,1,26.17
Cégep de Saint-Félicien,Quebec,2022,789,363,1,31.51
Cégep de Saint-Félicien,Quebec,2023,891,402,1,31.09
Cégep de Saint-Hyacinthe,Quebec,2020,4572,30,1,0.65
Cégep de Saint-Hyacinthe,Quebec,2021,4479,36,1,0.8
Cégep de Saint-Hyacinthe,Quebec,2022,4449,60,1,1.33
Cégep de Saint-Hyacinthe,Quebec,2023,4419,141,1,3.09
Cégep de Saint-Jérôme,Quebec,2020,4878,27,1,0.55
Cégep de Saint-Jérôme,Quebec,2021,4686,24,1,0.51
Cégep de Saint-Jérôme,Quebec,2022,4527,24,1,0.53
Cégep de Saint-Jérôme,Quebec,2023,4497,66,1,1.45
Cégep de Saint-Laurent,Quebec,2020,3870,69,1,1.75
Cégep de Saint-Laurent,Quebec,2021,3828,87,1,2.22
Cégep de Saint-Laurent,Quebec,2022,3720,105,1,2.75
Cégep de Saint-Laurent,Quebec,2023,3882,174,1,4.29
Cégep de Sainte-Foy,Quebec,2020,6816,81,1,1.17
Cégep de Sainte-Foy,Quebec,2021,6621,96,1,1.43
Cégep de Sainte-Foy,Quebec,2022,6678,102,1,1.5
Cégep de Sainte-Foy,Quebec,2023,7035,111,1,1.55
Cégep de Sept-Îles,Quebec,2020,582,51,1,8.06
Cégep de Sept-Îles,Quebec,2021,576,51,1,8.13
Cégep de Sept-Îles,Quebec,2022,576,81,1,12.33
Cégep de Sept-Îles,Quebec,2023,579,87,1,13.06
Cégep de Shawinigan,Quebec,2020,1059,42,1,3.81
Cégep de Shawinigan,Quebec,2021,981,63,1,6.03
Cégep de Shawinigan,Quebec,2022,972,69,1,6.63
Cégep de Shawinigan,Quebec,2023,1050,114,1,9.79
Cégep de Sherbrooke,Quebec,2020,5439,117,1,2.11
Cégep de Sherbrooke,Quebec,2021,5241,1056,1,16.77
Cégep de Sherbrooke,Quebec,2022,5157,642,1,11.07
Cégep de Sherbrooke,Quebec,2023,5124,306,1,5.64
Cégep de Sorel-Tracy,Quebec,2020,1059,24,1,2.22
Cégep de Sorel-Tracy,Quebec,2021,1047,30,1,2.79
Cégep de Sorel-Tracy,Quebec,2022,1002,27,1,2.62
Cégep de Sorel-Tracy,Quebec,2023,1014,75,1,6.89
Cégep de Thetford,Quebec,2020,963,72,1,6.96
Cégep de Thetford,Quebec,2021,1059,63,1,5.61
Cégep de Thetford,Quebec,2022,1014,87,1,7.9
Cégep de Thetford,Quebec,2023,1059,126,1,10.63
Cégep de Trois-Rivières,Quebec,2020,3654,141,1,3.72
Cégep de Trois-Rivières,Quebec,2021,3639,192,1,5.01
Cégep de Trois-Rivières,Quebec,2022,3681,219,1,5.62
Cégep de Trois-Rivières,Quebec,2023,3633,387,1,9.63
Cégep de Valleyfield,Quebec,2020,2301,9,1,0.39
Cégep de Valleyfield,Quebec,2021,2367,3,1,0.13
Cégep de Valleyfield,Quebec,2022,2196,15,1,0.68
Cégep de Valleyfield,Quebec,2023,2247,66,1,2.85
Cégep de Victoriaville,Quebec,2020,1626,45,1,2.69
Cégep de Victoriaville,Quebec,2021,1716,93,1,5.14
Cégep de Victoriaville,Quebec,2022,1614,114,1,6.6
Cégep de Victoriaville,Quebec,2023,1689,159,1,8.6
Cégep de l'Abitibi-Témiscamingue,Quebec,2020,2058,72,1,3.38
Cégep de l'Abitibi-Témiscamingue,Quebec,2021,1917,54,1,2.74
Cégep de l'Abitibi-Témiscamingue,Quebec,2022,1827,117,1,6.02
Cégep de l'Abitibi-Témiscamingue,Quebec,2023,1869,234,1,11.13
Cégep de l'Outaouais,Quebec,2020,4758,27,1,0.56
Cégep de l'Outaouais,Quebec,2021,4821,33,1,0.68
Cégep de l'Outaouais,Quebec,2022,4737,72,1,1.5
Cégep de l'Outaouais,Quebec,2023,4797,102,1,2.08
Cégep de la Gaspésie et des Îles,Quebec,2020,942,1368,1,59.22
Cégep de la Gaspésie et des Îles,Quebec,2021,882,408,1,31.63
Cégep de la Gaspésie et des Îles,Quebec,2022,873,186,1,17.56
Cégep de la Gaspésie et des Îles,Quebec,2023,951,534,1,35.96
Cégep du Vieux Montréal,Quebec,2020,5973,213,1,3.44
Cégep du Vieux Montréal,Quebec,2021,5970,234,1,3.77
Cégep du Vieux Montréal,Quebec,2022,5772,240,1,3.99
Cégep du Vieux Montréal,Quebec,2023,5751,282,1,4.67
Cégep Édouard-Montpetit,Quebec,2020,7251,96,1,1.31
Cégep Édouard-Montpetit,Quebec,2021,7284,132,1,1.78
Cégep Édouard-Montpetit,Quebec,2022,7155,138,1,1.89
Cégep Édouard-Montpetit,Quebec,2023,7044,177,1,2.45
Institut Teccart inc.,Quebec,2020,513,294,1,36.43
Institut Teccart inc.,Quebec,2021,438,468,1,51.66
Institut Teccart inc.,Quebec,2022,372,789,1,67.96
Institut Teccart inc.,Quebec,2023,282,1713,1,85.86
Institut de tourisme et d'hôtellerie du Québec,Quebec,2020,432,27,1,5.88
Institut de tourisme et d'hôtellerie du Québec,Quebec,2021,402,24,1,5.63
Institut de tourisme et d'hôtellerie du Québec,Quebec,2022,333,18,1,5.13
Institut de tourisme et d'hôtellerie du Québec,Quebec,2023,366,21,1,5.43
Institut national de la recherche scientifique,Quebec,2020,234,441,1,65.33
Institut national de la recherche scientifique,Quebec,2021,240,495,1,67.35
Institut national de la recherche scientifique,Quebec,2022,222,474,1,68.1
Institut national de la recherche scientifique,Quebec,2023,198,483,1,70.93
Marianopolis College,Quebec,2020,1815,252,1,12.19
Marianopolis College,Quebec,2021,1782,225,1,11.21
Marianopolis College,Quebec,2022,1791,177,1,8.99
Marianopolis College,Quebec,2023,1749,126,1,6.72
McGill U,Quebec,2020,22617,10833,0,32.39
McGill U,Quebec,2021,22938,10551,0,31.51
McGill U,Quebec,2022,23319,10713,0,31.48
McGill U,Quebec,2023,23610,10680,0,31.15
QC FR Total,Quebec,2020,298749,31401,1,9.51
QC FR Total,Quebec,2021,292116,36336,1,11.06
QC FR Total,Quebec,2022,284733,40047,1,12.33
QC FR Total,Quebec,2023,285993,48360,1,14.46
QC Total,Quebec,2020,61086,18786,0,23.52
QC Total,Quebec,2021,60627,18753,0,23.62
QC Total,Quebec,2022,60243,19776,0,24.71
QC Total,Quebec,2023,61008,19611,0,24.33
Séminaire de Sherbrooke,Quebec,2020,408,6,1,1.45
Séminaire de Sherbrooke,Quebec,2021,504,6,1,1.18
Séminaire de Sherbrooke,Quebec,2022,555,6,1,1.07
Séminaire de Sherbrooke,Quebec,2023,549,6,1,1.08
Télé-université (Téluq),Quebec,2020,696,18,1,2.52
Télé-université (Téluq),Quebec,2021,714,33,1,4.42
Télé-université (Téluq),Quebec,2022,690,27,1,3.77
Télé-université (Téluq),Quebec,2023,816,45,1,5.23
U Laval,Quebec,2020,26757,3825,1,12.51
U Laval,Quebec,2021,26106,4143,1,13.7
U Laval,Quebec,2022,25659,5103,1,16.59
U Laval,Quebec,2023,25542,5766,1,18.42
U de Montréal,Quebec,2020,40311,8850,1,18.0
U de Montréal,Quebec,2021,39585,10383,1,20.78
U de Montréal,Quebec,2022,38646,11211,1,22.49
U de Montréal,Quebec,2023,38628,11871,1,23.51
U de Sherbrooke,Quebec,2020,15168,1179,1,7.21
U de Sherbrooke,Quebec,2021,14670,1608,1,9.88
U de Sherbrooke,Quebec,2022,14247,1797,1,11.2
U de Sherbrooke,Quebec,2023,14259,2037,1,12.5
U du Québec en Abitibi-Témiscamingue,Quebec,2020,1266,291,1,18.69
U du Québec en Abitibi-Témiscamingue,Quebec,2021,1245,369,1,22.86
U du Québec en Abitibi-Témiscamingue,Quebec,2022,1086,429,1,28.32
U du Québec en Abitibi-Témiscamingue,Quebec,2023,1137,483,1,29.81
U du Québec en Outaouais,Quebec,2020,3981,354,1,8.17
U du Québec en Outaouais,Quebec,2021,3564,417,1,10.47
U du Québec en Outaouais,Quebec,2022,3453,528,1,13.26
U du Québec en Outaouais,Quebec,2023,3399,738,1,17.84
U du Québec à Chicoutimi,Quebec,2020,3057,2232,1,42.2
U du Québec à Chicoutimi,Quebec,2021,3027,2625,1,46.44
U du Québec à Chicoutimi,Quebec,2022,2997,2532,1,45.79
U du Québec à Chicoutimi,Quebec,2023,3093,2811,1,47.61
U du Québec à Montréal,Quebec,2020,20337,3030,1,12.97
U du Québec à Montréal,Quebec,2021,17973,3294,1,15.49
U du Québec à Montréal,Quebec,2022,16770,3477,1,17.17
U du Québec à Montréal,Quebec,2023,16659,3411,1,17.0
U du Québec à Rimouski,Quebec,2020,2856,444,1,13.45
U du Québec à Rimouski,Quebec,2021,2808,549,1,16.35
U du Québec à Rimouski,Quebec,2022,2811,600,1,17.59
U du Québec à Rimouski,Quebec,2023,2826,909,1,24.34
U du Québec à Trois-Rivières,Quebec,2020,7494,1284,1,14.63
U du Québec à Trois-Rivières,Quebec,2021,7425,1677,1,18.42
U du Québec à Trois-Rivières,Quebec,2022,7236,1893,1,20.74
U du Québec à Trois-Rivières,Quebec,2023,7383,2649,1,26.41
École de Musique Vincent d'Indy,Quebec,2020,60,3,1,4.76
École de Musique Vincent d'Indy,Quebec,2021,57,3,1,5.0
École de Musique Vincent d'Indy,Quebec,2022,75,0,1,0.0
École de Musique Vincent d'Indy,Quebec,2023,78,0,1,0.0
École de sténographie judiciaire du Québec,Quebec,2020,21,0,1,0.0
École de sténographie judiciaire du Québec,Quebec,2021,27,0,1,0.0
École de technologie supérieure,Quebec,2020,4527,1410,1,23.75
École de technologie supérieure,Quebec,2021,4212,1992,1,32.11
École de technologie supérieure,Quebec,2022,4179,2514,1,37.56
École de technologie supérieure,Quebec,2023,4230,2769,1,39.56
École nationale d'administration publique,Quebec,2020,333,138,1,29.3
École nationale d'administration publique,Quebec,2021,480,153,1,24.17
École nationale d'administration publique,Quebec,2022,537,282,1,34.43
École nationale d'administration publique,Quebec,2023,513,579,1,53.02
École nationale de Cirque,Quebec,2020,63,51,1,44.74
École nationale de Cirque,Quebec,2021,45,54,1,54.55
École nationale de Cirque,Quebec,2022,42,60,1,58.82
École nationale de Cirque,Quebec,2023,39,42,1,51.85
Carlton Trail College,Saskatchewan,2020,414,3,0,0.72
Carlton Trail College,Saskatchewan,2021,426,6,0,1.39
Carlton Trail College,Saskatchewan,2022,438,6,0,1.35
Carlton Trail College,Saskatchewan,2023,495,6,0,1.2
Cumberland Regional College,Saskatchewan,2020,150,0,0,0.0
Cumberland Regional College,Saskatchewan,2021,153,0,0,0.0
Cumberland Regional College,Saskatchewan,2022,156,0,0,0.0
Cumberland Regional College,Saskatchewan,2023,174,0,0,0.0
Great Plains College,Saskatchewan,2020,9,0,0,0.0
Great Plains College,Saskatchewan,2021,9,0,0,0.0
Great Plains College,Saskatchewan,2022,12,0,0,0.0
Great Plains College,Saskatchewan,2023,15,0,0,0.0
Northlands College,Saskatchewan,2020,120,3,0,2.44
Northlands College,Saskatchewan,2021,120,0,0,0.0
Northlands College,Saskatchewan,2022,126,3,0,2.33
Northlands College,Saskatchewan,2023,144,0,0,0.0
Parkland College,Saskatchewan,2020,18,0,0,0.0
Parkland College,Saskatchewan,2021,21,0,0,0.0
Parkland College,Saskatchewan,2022,21,0,0,0.0
Parkland College,Saskatchewan,2023,24,0,0,0.0
SK Total,Saskatchewan,2020,35724,5778,0,13.92
SK Total,Saskatchewan,2021,35700,6024,0,14.44
SK Total,Saskatchewan,2022,35247,7035,0,16.64
SK Total,Saskatchewan,2023,35436,9279,0,20.75
Saskatchewan Polytechnic,Saskatchewan,2020,4191,906,0,17.78
Saskatchewan Polytechnic,Saskatchewan,2021,4860,1131,0,18.88
Saskatchewan Polytechnic,Saskatchewan,2022,4755,1782,0,27.26
Saskatchewan Polytechnic,Saskatchewan,2023,4242,2724,0,39.1
Southeast College,Saskatchewan,2020,1782,0,0,0.0
Southeast College,Saskatchewan,2021,1830,0,0,0.0
Southeast College,Saskatchewan,2022,1872,0,0,0.0
Southeast College,Saskatchewan,2023,2091,0,0,0.0
U of Regina,Saskatchewan,2020,10752,2574,0,19.32
U of Regina,Saskatchewan,2021,10122,2328,0,18.7
U of Regina,Saskatchewan,2022,9972,2544,0,20.33
U of Regina,Saskatchewan,2023,9939,3663,0,26.93
U of Saskatchewan,Saskatchewan,2020,18288,2292,0,11.14
U of Saskatchewan,Saskatchewan,2021,18159,2559,0,12.35
U of Saskatchewan,Saskatchewan,2022,17895,2700,0,13.11
U of Saskatchewan,Saskatchewan,2023,18312,2886,0,13.61
